rack_type,rack_spaces,Comments,Latitude,Longitude,x,y
Lightning Bolt Rack,2,,38.53537254,-121.75024989,6633110.077737093,1956889.4156070948
Lightning Bolt Rack,21,,38.53135579,-121.76298989,6629469.69591026,1955416.8407963365
Lightning Bolt Rack,17,One rack has been cut,38.5315127,-121.76348861,6629326.882547587,1955473.6123363376
Lightning Bolt Rack,6,,38.5308136,-121.76345224,6629337.951423094,1955219.0446040034
Lightning Bolt Rack,52,,38.53245184,-121.76260494,6629578.772135675,1955816.2868478447
Lightning Bolt Rack,83,,38.53297915,-121.76208733,6629726.335488841,1956008.7103475034
Lightning Bolt Rack,233,,38.53313412,-121.76332475,6629372.220383421,1956064.2210632563
Lightning Bolt Rack,30,,38.53303321,-121.76331224,6629375.894588679,1956027.4809792489
Coat Hanger Rack,60,,38.53472913,-121.76342483,6629342.080023751,1956645.0141929984
Coat Hanger Rack,36,,38.53472204,-121.76368341,6629268.120197922,1956642.2425450087
Coat Hanger Rack,12,,38.53470222,-121.76386689,6629215.655079752,1956634.8869166672
Lightning Bolt Rack,30,,38.5345653,-121.76408146,6629154.405858427,1956584.864707008
Lightning Bolt Rack,53,,38.53540542,-121.76480734,6628945.9800941795,1956890.279450506
Bike Stall,12,Single sided coat hanger,38.53543945,-121.76493801,6628908.569735929,1956902.5760138333
Lightning Bolt Rack,6,,38.53546777,-121.76522698,6628825.886174262,1956912.673762679
Bike Stall,6,Single side coat hanger,38.53546506,-121.76528583,6628809.0558273345,1956911.643252924
Lightning Bolt Rack,10,,38.53501323,-121.76572793,6628683.018677846,1956746.7718635052
Lightning Bolt Rack,34,,38.53479346,-121.76473534,6628967.152295917,1956667.4692005962
Lightning Bolt Rack,30,,38.53471199,-121.76500704,6628889.508422345,1956637.598197341
Lightning Bolt Rack,65,,38.53471827,-121.76535535,6628789.871810585,1956639.6296893358
Playground Rack,26,Playground rack type?,38.53466853,-121.76537689,6628783.756665334,1956621.4971796721
Coat Hanger Rack,20,,38.53465138,-121.76542441,6628770.178280428,1956615.219633177
Lightning Bolt Rack,10,,38.53484216,-121.76669922,6628405.346661001,1956683.7559134215
Lightning Bolt Rack,10,,38.53482376,-121.76492192,6628913.753124505,1956678.3658323437
Varsity Rack,36,,38.53389517,-121.76385029,6629221.166223586,1956340.9882262498
Varsity Rack,36,,38.53405232,-121.76380714,6629233.361081094,1956398.2499227524
Varsity Rack,34,,38.53335574,-121.76410993,6629147.4058724195,1956144.3455749154
Lightning Bolt Rack,42,,38.5331368,-121.7647938,6628951.9912370145,1956064.1082025915
Wave Rack,10,Covered,38.53292351,-121.76596535,6628617.064741507,1955985.5650525838
Concrete Pod,15,,38.53290958,-121.76592967,6628627.283881173,1955980.520115167
Lightning Bolt Rack,8,,38.53286156,-121.7659083,6628633.442989588,1955963.0450845063
Coat Hanger Rack,12,,38.5323095,-121.76469001,6628982.460992336,1955762.897190839
Bike Locker,7,,38.53230753,-121.7645937,6629010.011790261,1955762.2528351694
Coat Hanger Rack,12,,38.53230586,-121.76452417,6629029.90348275,1955761.6947654188
Coat Hanger Rack,12,,38.53230972,-121.76414498,6629138.370785505,1955763.3814418316
Lightning Bolt Rack,6,,38.53232688,-121.76407799,6629157.514776096,1955769.6829384267
Lightning Bolt Rack,6,,38.53232895,-121.76393158,6629199.395597845,1955770.5431729257
Lightning Bolt Rack,10,,38.53224486,-121.76379187,6629239.439809084,1955740.023220837
Lightning Bolt Rack,10,,38.5321866,-121.76369925,6629265.989624754,1955718.8772657514
Lightning Bolt Rack,163,1 rack broken,38.53628336,-121.75058281,6633013.93816559,1957220.855561003
Coat Hanger Rack,48,,38.53737902,-121.74907477,6633444.195507169,1957621.0598130822
Lightning Bolt Rack,10,,38.53741815,-121.74918071,6633413.854032427,1957635.223826751
Lightning Bolt Rack,10,,38.53742136,-121.74912124,6633430.860888168,1957636.4393755049
Lightning Bolt Rack,25,,38.53677982,-121.75177329,6632672.920474917,1957400.7239676714
Lightning Bolt Rack,10,,38.53676144,-121.75192811,6632628.654487342,1957393.9063960016
Lightning Bolt Rack,38,,38.53598491,-121.75217902,6632557.654629335,1957110.9164764285
Lightning Bolt Rack,187,,38.53543639,-121.75192733,6632630.193198174,1956911.3535553366
Lightning Bolt Rack,29,,38.53479328,-121.75194967,6632624.441569254,1956677.1296143383
Lightning Bolt Rack,8,,38.53591754,-121.74898296,6633471.9260947555,1957088.891914174
Lightning Bolt Rack,5,,38.53702812,-121.74870903,6633549.163473085,1957493.5564591736
Lightning Bolt Rack,5,,38.53703646,-121.74864557,6633567.306481421,1957496.6443795115
